item,scrape_datetime,price
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-03 18:06:52,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-03 18:06:53,69.00
caran dache rot,2024-02-03 18:06:53,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-03 18:07:35,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-03 18:07:36,69.00
caran dache rot,2024-02-03 18:07:36,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-03 18:16:39,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-03 18:16:39,69.00
caran dache rot,2024-02-03 18:16:40,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-03 18:18:46,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-03 18:18:47,69.00
caran dache rot,2024-02-03 18:18:47,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-04 11:05:09,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-04 11:05:09,69.00
caran dache rot,2024-02-04 11:05:11,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-04 11:43:56,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-04 11:43:57,69.00
caran dache rot,2024-02-04 11:43:57,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 14:44:06,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 14:44:06,69.00
caran dache rot,2024-02-05 14:44:07,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 14:44:12,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 14:44:13,69.00
caran dache rot,2024-02-05 14:44:13,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 18:01:00,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 18:01:01,69.00
caran dache rot,2024-02-05 18:01:01,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 18:01:17,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 18:01:18,69.00
caran dache rot,2024-02-05 18:01:18,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 18:04:14,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 18:04:15,69.00
caran dache rot,2024-02-05 18:04:16,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 18:06:57,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 18:06:58,69.00
caran dache rot,2024-02-05 18:06:59,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 18:06:59,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 18:07:00,69.00
caran dache rot,2024-02-05 18:07:00,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 18:07:54,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 18:07:55,69.00
caran dache rot,2024-02-05 18:07:56,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 18:08:05,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 18:08:06,69.00
caran dache rot,2024-02-05 18:08:07,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 18:08:07,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 18:08:07,69.00
caran dache rot,2024-02-05 18:08:08,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-05 18:09:38,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-05 18:09:39,69.00
caran dache rot,2024-02-05 18:09:40,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-08 18:06:36,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-08 18:06:37,69.00
caran dache rot,2024-02-08 18:06:37,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-08 18:07:58,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-08 18:07:59,69.00
caran dache rot,2024-02-08 18:07:59,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-12 10:41:50,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-12 10:41:51,69.00
caran dache rot,2024-02-12 10:41:52,7.80
caran dache rot,2024-04-30 10:25:55,7.80
Helly Hansen Fleece Jacke - Herren - spruce,2024-05-07 15:36:23,69.00
caran dache rot,2024-05-07 15:36:24,7.80
